index,chembl_id,smiles,ic50,mw
178,CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,8580,348.38
179,CHEMBL54727,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,1300,337.42
180,CHEMBL14638,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,77300,270.33
181,CHEMBL4785796,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCN(CCc2ccccc2)CC1,3.8,474.69
182,CHEMBL76640,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,2489,275.35
183,CHEMBL3822670,Cc1ccc(CN2CCC(CC(=O)NCCc3c[nH]c4ccccc34)CC2)cc1,290,389.54
184,CHEMBL4750360,CCN(C)C(=O)Oc1ccc(/C=C/C(=O)N2CCN(Cc3ccccc3)CC2)cc1,29700,407.51
185,CHEMBL4756176,COc1cc(/C=C/C(=O)N2CCN(Cc3ccccc3)CC2)ccc1OC(=O)N(C)C,14200,423.51
186,CHEMBL4778914,COc1cccc2cc[n+](-c3ccccc3I)cc12.[Br-],36900,442.09
187,CHEMBL4793631,COc1cccc2cc[n+](-c3ccc(I)cc3)cc12.[Br-],36100,442.09
188,CHEMBL4785451,COc1cccc2cc[n+](-c3ccccc3C#N)cc12.[Br-],59400,341.21
189,CHEMBL4799313,CCN(C)C(=O)OCC1CCN(Cc2ccccc2)CC1,46000,290.41
190,CHEMBL1762000,[Br-].[Br-].c1ccc(C[n+]2cccc3ccccc32)c(C[n+]2cccc3ccccc32)c1,6000,522.28
191,CHEMBL3335018,C[C@@H](c1ccc2c(c1)oc(=O)c1ccccc12)N(C)C.Cl,16200,303.79
192,CHEMBL3335029,O=c1oc2cc(OCCN3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2,32000,418.54
193,CHEMBL3335057,COc1cccc(CN(C)CCOc2ccc3c(c2)oc(=O)c2ccccc23)c1,33200,389.45
194,CHEMBL604756,O=C(NCc1ccccc1)O[C@H]1CO[C@@H]2C=CO[C@H]12,10250,261.28
195,CHEMBL345124,CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[I-].[I-],13200,668.41
196,CHEMBL4176610,COc1ccc(C2NC(=S)Nc3nc4c(c(N)c32)CCCC4)cc1,1750,340.45
197,CHEMBL1916927,Nc1c2c(nc3oc(-c4ccc(Cl)cc4)cc13)CCCC2,26100,298.77
198,CHEMBL561846,C=C1C[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@](C)(CO)[C@@H]1C[C@@H]3O,21100,304.47
199,CHEMBL3335019,COc1cc(C(C)N(C)C)cc2oc(=O)c3ccccc3c12.Cl,21100,333.82
200,CHEMBL3335048,O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2,3100,432.56
201,CHEMBL3910719,COc1ccc2[nH]c3c(-c4ccccc4)nccc3c2c1,4480,274.32
202,CHEMBL3356537,O=C1C(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21,258,461.95
203,CHEMBL3338995,CCN(CC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,20120,337.46
204,CHEMBL3818086,COc1ccc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1O,3240,394.52
205,CHEMBL3817981,O=C(/C=C/c1ccccc1O)NCCC1CCN(Cc2ccccc2)CC1,988,364.49
206,CHEMBL3819083,COc1cc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc(OC)c1OC,669,438.57
207,CHEMBL3752974,CC(C)NCc1cccc2[nH]c3ccccc3c12,8100,238.33
